FIPS code,State,County Name,Total: Disability Compensation Recipients,SCD rating: 0% to 20%,SCD rating: 30% to 40%,SCD rating: 50% to 60%,SCD rating: 70% to 90%,SCD rating: 100%,Age: 17-44,Age: 45-64,Age: 65 or older,Male,Female
2100,Alaska,Haines,46,,,11,13,11,10,12,24,,
2105,Alaska,Hoonah-Angoon,34,15,,,,,,,23,,
2110,Alaska,Juneau,579,140,94,60,158,127,163,250,166,521,58
2122,Alaska,Kenai Peninsula,"1,830",424,196,215,534,461,393,619,818,"1,639",191
2130,Alaska,Ketchikan Gateway,235,54,31,42,62,46,55,92,88,210,25
2150,Alaska,Kodiak Island,361,67,36,38,108,112,114,159,88,318,43
2158,Alaska,Kusilvak,35,18,,,,,,,19,,
2164,Alaska,Lake and Peninsula,14,,,,,,,,,,
2170,Alaska,Matanuska-Susitna,"5,752",858,575,744,"1,763","1,812","2,000","2,349","1,403","4,921",831
2180,Alaska,Nome,50,14,,,12,,13,17,20,,
2185,Alaska,North Slope,18,,,,,,,,,,
2188,Alaska,Northwest Arctic,24,12,,,,,,,13,,
2195,Alaska,Petersburg,56,12,,,18,11,15,20,21,,
2198,Alaska,Prince of Wales-Hyder,145,48,17,13,37,30,30,41,74,135,10
2220,Alaska,Sitka,140,32,22,17,44,25,31,52,57,126,14
2230,Alaska,Skagway,16,,,,,,,,,,
2240,Alaska,Southeast Fairbanks,369,69,34,60,118,88,110,158,101,324,45
2275,Alaska,Wrangell,46,13,,,11,,10,13,23,,
2282,Alaska,Yakutat,13,,,,,,,,,,
2290,Alaska,Yukon-Koyukuk,65,14,,,16,14,10,32,23,,
4001,Arizona,Apache,"1,151",218,127,140,349,317,231,310,610,"1,008",143
4003,Arizona,Cochise,"8,672","1,426",961,"1,044","2,535","2,706","1,769","3,345","3,558","7,318","1,353"
4005,Arizona,Coconino,"2,150",487,260,280,619,504,768,629,753,"1,870",280
4007,Arizona,Gila,"1,320",335,145,142,369,329,166,293,861,"1,211",109
4009,Arizona,Graham,508,123,72,60,143,110,120,166,222,472,36
4011,Arizona,Greenlee,121,30,14,25,34,18,34,29,58,111,10
4012,Arizona,La Paz,588,138,69,80,179,122,51,115,422,550,38
4013,Arizona,Maricopa,"78,855","15,671","8,682","9,424","23,392","21,686","27,387","24,618","26,850","69,155","9,696"
4015,Arizona,Mohave,"6,819","1,412",740,771,"1,994","1,902","1,087","1,650","4,082","6,265",553
4017,Arizona,Navajo,"2,121",462,210,251,657,541,465,622,"1,034","1,893",228
4019,Arizona,Pima,"28,920","5,792","3,405","3,578","8,450","7,695","7,856","9,761","11,303","24,971","3,942"
4021,Arizona,Pinal,"12,664","2,510","1,371","1,498","3,904","3,381","3,935","3,638","5,091","11,171","1,491"
4023,Arizona,Santa Cruz,695,127,63,95,214,196,193,241,261,625,70
4025,Arizona,Yavapai,"8,155","1,823",932,954,"2,202","2,244","1,545","1,958","4,652","7,399",756
4027,Arizona,Yuma,"6,324","1,052",669,715,"1,923","1,965","2,156","1,976","2,192","5,671",651
5001,Arkansas,Arkansas,247,35,28,32,83,69,41,90,116,230,17
5003,Arkansas,Ashley,348,50,36,36,117,109,57,115,176,320,28
5005,Arkansas,Baxter,"1,407",223,138,158,444,444,244,419,744,"1,273",134
5007,Arkansas,Benton,"5,517",997,563,678,"1,751","1,528","1,856","1,805","1,856","4,917",600
5009,Arkansas,Boone,880,141,95,90,305,249,218,279,383,815,65
5011,Arkansas,Bradley,140,15,15,12,53,45,18,54,68,128,12
5013,Arkansas,Calhoun,92,,,15,38,21,19,38,35,76,16
5015,Arkansas,Carroll,602,115,62,91,186,148,102,183,317,554,48
5017,Arkansas,Chicot,187,26,12,20,75,54,18,69,100,170,17
5019,Arkansas,Clark,366,63,39,44,119,101,80,105,181,337,29
5021,Arkansas,Clay,283,53,37,36,82,75,52,91,140,267,16
5023,Arkansas,Cleburne,791,103,87,86,262,253,132,248,411,712,79
5025,Arkansas,Cleveland,148,23,16,13,52,44,26,48,74,132,16
5027,Arkansas,Columbia,326,51,33,46,97,99,77,95,154,281,45
5029,Arkansas,Conway,469,76,40,46,164,143,88,179,202,421,48
5031,Arkansas,Craighead,"1,674",286,134,207,517,530,498,516,660,"1,530",144
5033,Arkansas,Crawford,"1,521",225,138,188,532,438,367,543,611,"1,370",151
5035,Arkansas,Crittenden,839,155,84,107,264,229,182,306,351,725,114
5037,Arkansas,Cross,267,39,24,34,90,80,61,100,106,245,21
5039,Arkansas,Dallas,112,25,10,12,35,30,19,39,54,100,12
5041,Arkansas,Desha,173,18,15,28,62,50,33,62,78,150,22
5043,Arkansas,Drew,303,38,31,34,106,94,65,100,138,270,33
5045,Arkansas,Faulkner,"2,885",439,279,347,948,872,825,"1,083",977,"2,569",316
5047,Arkansas,Franklin,428,72,28,54,139,135,98,150,180,398,30
5049,Arkansas,Fulton,436,94,42,48,135,117,80,144,212,405,31
5051,Arkansas,Garland,"2,395",459,244,299,751,642,453,806,"1,136","2,131",264
5053,Arkansas,Grant,434,64,44,42,162,122,124,166,144,384,50
5055,Arkansas,Greene,920,125,94,105,306,290,208,282,430,875,45
5057,Arkansas,Hempstead,285,58,28,45,99,55,51,89,145,253,32
5059,Arkansas,Hot Spring,688,101,69,84,243,191,146,248,294,635,53
5061,Arkansas,Howard,178,38,28,16,49,47,30,64,84,158,20
5063,Arkansas,Independence,755,118,82,89,236,230,166,236,353,701,54
5065,Arkansas,Izard,430,70,39,56,134,131,88,135,207,395,35
5067,Arkansas,Jackson,202,38,11,25,65,63,45,63,94,,
5069,Arkansas,Jefferson,"1,550",213,120,166,537,514,237,579,734,"1,361",189
5071,Arkansas,Johnson,542,88,69,60,171,154,128,190,224,498,44
5073,Arkansas,Lafayette,113,21,19,12,33,28,18,33,62,,
5075,Arkansas,Lawrence,278,48,36,42,82,70,67,83,128,256,22
5077,Arkansas,Lee,92,15,11,11,30,25,13,29,50,,
5079,Arkansas,Lincoln,188,37,26,16,67,42,42,58,88,167,21
5081,Arkansas,Little River,244,50,24,26,76,68,60,70,114,219,25
5083,Arkansas,Logan,529,77,49,71,179,153,120,186,223,489,40
5085,Arkansas,Lonoke,"3,598",455,319,416,"1,227","1,181","1,004","1,571","1,023","3,122",476
5087,Arkansas,Madison,375,54,34,41,137,109,98,124,153,350,25
5089,Arkansas,Marion,582,105,57,56,177,187,113,171,298,525,57
5091,Arkansas,Miller,836,153,84,100,271,228,193,284,359,740,96
5093,Arkansas,Mississippi,589,111,67,76,192,143,86,200,303,537,52
5095,Arkansas,Monroe,134,18,10,22,49,35,20,36,78,120,14
5097,Arkansas,Montgomery,223,39,16,30,80,58,32,68,123,204,19
5099,Arkansas,Nevada,168,26,17,17,58,50,32,71,65,148,20
5101,Arkansas,Newton,161,24,11,20,57,49,32,48,81,140,21
5103,Arkansas,Ouachita,511,72,43,57,171,168,92,174,245,466,45
5105,Arkansas,Perry,251,27,27,32,92,73,40,97,114,231,20
5107,Arkansas,Phillips,233,45,31,22,70,65,34,85,114,207,26
5109,Arkansas,Pike,181,25,20,27,52,57,32,61,88,168,13
5111,Arkansas,Poinsett,368,76,37,36,113,106,84,115,169,345,23
5113,Arkansas,Polk,598,110,58,74,197,159,132,183,283,542,56
5115,Arkansas,Pope,"1,305",227,158,173,398,349,356,413,536,"1,183",122
5117,Arkansas,Prairie,161,31,15,15,53,47,24,56,81,150,11
5119,Arkansas,Pulaski,"11,096","1,646","1,130","1,252","3,632","3,436","2,591","4,069","4,436","9,247","1,846"
5121,Arkansas,Randolph,439,70,43,56,127,143,82,146,211,408,31
5123,Arkansas,St. Francis,383,74,41,45,117,106,39,137,207,347,36
5125,Arkansas,Saline,"3,352",534,344,416,"1,005","1,053",841,"1,277","1,234","2,918",434
5127,Arkansas,Scott,223,35,25,26,67,70,47,76,100,202,21
5129,Arkansas,Searcy,243,35,23,29,82,74,44,83,116,216,27
5131,Arkansas,Sebastian,"2,860",469,290,364,927,810,711,"1,023","1,126","2,593",267
5133,Arkansas,Sevier,212,41,30,21,75,45,48,68,96,198,14
5135,Arkansas,Sharp,618,98,58,70,208,184,100,217,301,549,69
5137,Arkansas,Stone,343,43,28,37,123,112,52,117,174,300,43
5139,Arkansas,Union,637,113,65,80,182,197,120,209,308,574,63
5141,Arkansas,Van Buren,521,80,67,70,156,148,83,160,278,466,55
5143,Arkansas,Washington,"3,958",692,416,479,"1,204","1,167","1,310","1,317","1,331","3,506",452
5145,Arkansas,White,"2,065",315,201,252,679,618,484,761,820,"1,848",217
5147,Arkansas,Woodruff,106,16,,,37,31,16,32,58,,
5149,Arkansas,Yell,395,56,49,53,129,108,80,138,177,352,43
6001,California,Alameda,"10,203","2,196","1,143","1,238","2,911","2,715","3,321","2,698","4,184","9,039","1,162"
6003,California,Alpine,14,,,,,,,,,,
6005,California,Amador,"1,074",316,122,113,290,233,208,264,602,"1,001",73
6007,California,Butte,"3,769",838,442,448,"1,144",897,"1,164",883,"1,722","3,410",359
6009,California,Calaveras,"1,205",287,127,144,335,312,261,274,670,"1,090",114
6011,California,Colusa,247,86,27,22,69,43,71,52,124,224,23
6013,California,Contra Costa,"11,188","2,635","1,172","1,201","2,966","3,214","3,098","3,203","4,887","10,087","1,095"
6015,California,Del Norte,591,153,68,69,167,134,134,163,294,541,50
6017,California,El Dorado,"3,767","1,024",422,406,"1,032",883,882,961,"1,924","3,437",330
6019,California,Fresno,"12,882","3,248","1,250","1,455","3,856","3,073","4,153","3,353","5,376","11,773","1,109"
6021,California,Glenn,333,84,38,37,110,64,96,68,169,306,27
6023,California,Humboldt,"2,032",489,214,196,640,493,495,480,"1,057","1,845",187
6025,California,Imperial,"2,544",495,243,279,780,747,930,917,697,"2,379",165
6027,California,Inyo,294,67,38,38,82,69,69,63,162,271,23
6029,California,Kern,"13,536","2,885","1,356","1,643","4,169","3,483","4,976","4,025","4,535","12,141","1,391"
6031,California,Kings,"4,195",907,399,455,"1,261","1,173","1,516","1,450","1,229","3,578",617
6033,California,Lake,"1,517",328,171,160,407,451,241,327,949,"1,412",105
6035,California,Lassen,741,206,80,86,194,175,222,229,290,682,59
6037,California,Los Angeles,"73,230","14,766","6,642","7,628","23,053","21,141","27,690","21,670","23,870","65,647","7,568"
6039,California,Madera,"2,600",638,291,298,761,612,788,628,"1,184","2,345",255
6041,California,Marin,"1,711",472,204,194,391,450,299,387,"1,025","1,586",124
6043,California,Mariposa,430,131,45,46,117,91,93,81,256,397,33
6045,California,Mendocino,"1,349",370,113,114,416,336,211,297,841,"1,261",88
6047,California,Merced,"3,020",750,297,360,933,680,"1,018",676,"1,326","2,750",270
6049,California,Modoc,201,45,27,18,59,52,37,55,109,190,11
6051,California,Mono,157,34,12,14,56,41,66,40,51,131,26
6053,California,Monterey,"5,683","1,125",645,678,"1,729","1,506","1,430","1,692","2,561","4,995",688
6055,California,Napa,"2,035",576,205,208,491,555,378,447,"1,210","1,890",145
6057,California,Nevada,"2,146",577,226,227,590,526,439,508,"1,199","1,953",192
6059,California,Orange,"26,492","5,855","2,774","2,848","7,742","7,273","9,919","7,279","9,294","24,239","2,249"
6061,California,Placer,"8,796","2,028",985,"1,005","2,458","2,320","2,508","2,562","3,726","7,946",847
6063,California,Plumas,489,156,52,47,135,99,75,108,306,463,26
6065,California,Riverside,"50,395","8,265","3,947","4,573","14,001","19,609","17,234","17,382","15,779","44,647","5,739"
6067,California,Sacramento,"22,835","4,960","2,630","2,602","6,706","5,937","7,077","6,618","9,140","20,000","2,832"
6069,California,San Benito,892,161,79,102,290,260,304,237,351,819,73
6071,California,San Bernardino,"32,294","6,095","2,940","3,268","9,875","10,116","11,939","9,483","10,872","28,898","3,393"
6073,California,San Diego,"98,159","15,874","9,364","10,303","27,264","35,354","37,669","33,812","26,678","84,275","13,882"
6075,California,San Francisco,"4,333",903,431,420,"1,259","1,320","1,628","1,146","1,559","3,816",515
6077,California,San Joaquin,"9,131","1,843",906,"1,060","2,745","2,577","2,791","2,658","3,682","8,215",916
6079,California,San Luis Obispo,"4,461","1,236",507,499,"1,132","1,087","1,022","1,157","2,282","4,086",373
6081,California,San Mateo,"4,240",933,442,449,"1,141","1,275","1,327","1,150","1,763","3,849",390
6083,California,Santa Barbara,"6,034","1,386",640,655,"1,695","1,658","1,808","1,727","2,499","5,394",639
6085,California,Santa Clara,"9,813","2,064","1,090","1,146","2,887","2,626","3,335","2,499","3,979","8,915",898
6087,California,Santa Cruz,"2,230",440,206,296,698,590,492,519,"1,219","2,061",168
6089,California,Shasta,"4,575","1,014",508,574,"1,359","1,120","1,167","1,110","2,298","4,139",436
